"scen","covname","label","wt","age","male","pt","iti","tdos","wk","str","paramname","mid","lower","upper","cov.n","val.n"
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"Active Moiety Cmax",0.978822595165193,0.954369788455645,1.00978398157529,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"Active Moiety Cmax",1.07049509158868,1.0155301822605,1.1244102383687,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"Active Moiety Cmax",1.01805511258167,0.947736461924985,1.10153768312439,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"Active Moiety Cmax",1.3013740280167,1.1543772543313,1.46981428873914,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"Active Moiety Cmax",1.90610823134769,1.4466678739771,2.44520752005756,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"Active Moiety Cmax",1.21219887039395,1.10689850244138,1.31587132636095,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"Active Moiety Cmax",1.06215521937742,1.0038240983005,1.12111297914062,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"Active Moiety Cmax",0.950969073076542,0.907444924219991,1.00690032915903,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"Active Moiety Cmax",0.923548242055178,0.878534819488845,0.960889848980978,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"Active Moiety Cmax",0.841273821871537,0.800367601382339,0.880714074047061,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"Active Moiety Cmax",1.23936262613989,1.13849853802661,1.35096238521989,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"Active Moiety Cmax",0.257938446517068,0.248691748799346,0.267092991287312,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"Active Moiety Cmax",0.510584556236059,0.498255624487372,0.522790613702194,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"Active Moiety Cmax",1.91532319685408,1.81767471283662,2.01395466380019,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"Active Moiety Cmax",1.47615008085244,1.35615006840916,1.62280008811388,6,1
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"Midazolam AUC",0.939853699710029,0.907408145033432,0.974743601994309,1,1
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"Midazolam AUC",1.0091077476805,0.983846665199909,1.04011094378982,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"Midazolam AUC",1.08470215409821,1.03016810528841,1.13986320203695,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"Midazolam AUC",1.07754006772173,1.0030877042417,1.16713052498127,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"Midazolam AUC",1.57233651604075,1.33793083748917,1.86461826668606,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"Midazolam AUC",1.207485538883,0.983290552000166,1.42591734716545,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"Midazolam AUC",1.18477558948543,1.08482505182718,1.28968579670417,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"Midazolam AUC",1.08438854818778,1.02740826522323,1.14751776786904,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"Midazolam AUC",1.0092332391885,0.963870328077359,1.06614237193667,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"Midazolam AUC",0.820937181886842,0.734158884404834,0.9053800918706,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"Midazolam AUC",0.668793429773346,0.604611373549936,0.738737542641053,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"Midazolam AUC",1.06623477083736,0.98518815995746,1.1536921497642,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"Midazolam AUC",0.257938459375,0.24881522640625,0.2671519,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"Midazolam AUC",0.5105846125,0.498420301875,0.5228692,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"Midazolam AUC",1.9153231,1.8170464,2.012637585,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"Midazolam AUC",1.4756,1.3523175,1.621257,6,1
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"Midazolam Cmax",0.940495540347428,0.908036809228803,0.975410973709592,1,1
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"Midazolam Cmax",0.98267716998637,0.958071351126409,1.01281619562206,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"Midazolam Cmax",1.07766168648122,1.02359972003584,1.13226909173084,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"Midazolam Cmax",1.02873206014816,0.957334041711004,1.11571329000213,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"Midazolam Cmax",1.326949698315,1.17793979105022,1.49942464920459,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"Midazolam Cmax",1.87988336783551,1.42702603957469,2.4017810927898,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"Midazolam Cmax",1.22093054245038,1.11691192195512,1.3284357423739,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"Midazolam Cmax",1.0696239715143,1.0132662705766,1.13167993736988,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"Midazolam Cmax",0.95687032850476,0.914559748809572,1.01221212332026,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"Midazolam Cmax",0.913297169130169,0.869203703431633,0.955900283865584,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"Midazolam Cmax",0.826612241572597,0.78433566487493,0.86860825383126,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"Midazolam Cmax",1.23516931547033,1.13434597541257,1.34493301366805,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"Midazolam Cmax",0.257938445384608,0.248815210914129,0.2671518831393,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"Midazolam Cmax",0.510584551280673,0.498420238454224,0.522869135387067,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"Midazolam Cmax",1.91532320538424,1.81704651868448,2.01263773630673,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"Midazolam Cmax",1.47560011316886,1.35231760504273,1.62125710295445,6,1
